scope,source_node_type,source_feature_index,source_feature_name,target_node_type,output_head,output_feature_index,output_feature_name,distance,count,profiles,mean_signed,mean_abs,rms,max_abs,mean_shell_l1,mean_shell_l2_energy,sum_signed,sum_abs,sum_square
test,load,1,qd,bus,0,1,vm,5,806,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,6,1157,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,7,1488,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,8,1866,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,9,2050,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,10,2224,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,11,2130,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,12,1888,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,13,1604,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,14,1207,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,15,886,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,16,573,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,17,356,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,18,210,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,19,121,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,20,55,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,21,40,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,22,16,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test,load,1,qd,bus,0,1,vm,23,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
